SA4 Name 2021,National LGA Name 2024,National Remoteness Areas,National Road Type
Ballarat,Central Goldfields,Inner Regional Australia,Local Road
Ballarat,Hepburn,Inner Regional Australia,Access road
Western Australia - Wheat Belt,Katanning,Outer Regional Australia,Arterial Road
Northern Territory - Outback,Roper Gulf,Very Remote Australia,Local Road
Western Australia - Wheat Belt,Jerramungup,Remote Australia,Arterial Road
Melbourne - South East,Kingston (Vic.),Major Cities of Australia,Collector Road
Central West,Warrumbungle,Outer Regional Australia,Sub-arterial Road
South Australia - South East,Southern Mallee,Remote Australia,Arterial Road
Western Australia - Outback (South),Carnamah,Remote Australia,Arterial Road
South East,Derwent Valley,Outer Regional Australia,Local Road
Ballarat,Hepburn,Inner Regional Australia,Sub-arterial Road
Barossa - Yorke - Mid North,Clare and Gilbert Valleys,Outer Regional Australia,Arterial Road
South East,Kingborough,Outer Regional Australia,Local Road
Mid North Coast,Nambucca Valley,Inner Regional Australia,Arterial Road
Western Australia - Outback (North),Ashburton,Very Remote Australia,Arterial Road
Central West,Bathurst,Inner Regional Australia,Arterial Road
Western Australia - Outback (North),Karratha,Remote Australia,Arterial Road
South Australia - Outback,Ceduna,Very Remote Australia,National or State Highway
Western Australia - Wheat Belt,West Arthur,Outer Regional Australia,Arterial Road
Northern Territory - Outback,Alice Springs,Remote Australia,Collector Road
Adelaide - North,Playford,Major Cities of Australia,Arterial Road
Mid North Coast,Nambucca Valley,Inner Regional Australia,Local Road
Western Australia - Outback (North),Wyndham-East Kimberley,Very Remote Australia,Local Road
Perth - Inner,Cambridge,Major Cities of Australia,Arterial Road
Riverina,Cootamundra-Gundagai,Inner Regional Australia,National or State Highway
Adelaide - South,Onkaparinga,Inner Regional Australia,Sub-arterial Road
Melbourne - West,Moorabool,Major Cities of Australia,Local Road
South Australia - South East,Mount Gambier,Outer Regional Australia,Collector Road
Adelaide - Central and Hills,Adelaide Hills,Inner Regional Australia,Access road
Perth - South East,Gosnells,Major Cities of Australia,Local Road
Hume,Towong,Inner Regional Australia,Arterial Road
Wide Bay,Bundaberg,Outer Regional Australia,Local Road
Geelong,Greater Geelong,Inner Regional Australia,Arterial Road
North West,Horsham,Outer Regional Australia,Sub-arterial Road
Perth - North East,Swan,Inner Regional Australia,National or State Highway
Central Queensland,Livingstone,Remote Australia,Sub-arterial Road
Sydney - South West,Camden,Major Cities of Australia,Sub-arterial Road
Southern Highlands and Shoalhaven,Shoalhaven,Inner Regional Australia,Access road
Western Australia - Outback (North),Ashburton,Very Remote Australia,National or State Highway
Sydney - Eastern Suburbs,Randwick,Major Cities of Australia,Access road
Perth - South East,South Perth,Major Cities of Australia,National or State Highway
Northern Territory - Outback,Victoria Daly,Very Remote Australia,Access road
Western Australia - Wheat Belt,Denmark,Outer Regional Australia,National or State Highway
Western Australia - Wheat Belt,Brookton,Outer Regional Australia,National or State Highway
Queensland - Outback,Burke,Very Remote Australia,Sub-arterial Road
Capital Region,Queanbeyan-Palerang,Inner Regional Australia,Sub-arterial Road
Australian Capital Territory,Unincorporated ACT,Inner Regional Australia,National or State Highway
Townsville,Hinchinbrook,Outer Regional Australia,National or State Highway
Sydney - Inner West,Canada Bay,Major Cities of Australia,Local Road
Sydney - Inner West,Strathfield,Major Cities of Australia,Collector Road
Far West and Orana,Central Darling,Very Remote Australia,National or State Highway
Melbourne - Inner,Melbourne,Major Cities of Australia,Pedestrian Thoroughfare
South Australia - Outback,Streaky Bay,Very Remote Australia,National or State Highway
Western Australia - Outback (North),Port Hedland,Very Remote Australia,Local Road
Melbourne - Inner,Darebin,Major Cities of Australia,Arterial Road
Queensland - Outback,Longreach,Very Remote Australia,Sub-arterial Road
Bendigo,Mount Alexander,Inner Regional Australia,Local Road
Melbourne - Outer East,Whitehorse,Major Cities of Australia,Local Road
Central West,Mid-Western,Outer Regional Australia,Local Road
Queensland - Outback,Northern Peninsula Area,Very Remote Australia,Collector Road
Perth - Inner,Nedlands,Major Cities of Australia,Local Road
Far West and Orana,Brewarrina,Very Remote Australia,Access road
Perth - North West,Stirling,Major Cities of Australia,Arterial Road
South Australia - South East,Mid Murray,Inner Regional Australia,National or State Highway
Southern Highlands and Shoalhaven,Wingecarribee,Inner Regional Australia,Access road
Northern Territory - Outback,Coomalie ,Remote Australia,Local Road
Western Australia - Wheat Belt,Gingin,Outer Regional Australia,Arterial Road
Perth - Inner,Stirling,Major Cities of Australia,Arterial Road
Central Coast,Central Coast (NSW),Inner Regional Australia,Sub-arterial Road
South Australia - Outback,Franklin Harbour,Remote Australia,Arterial Road
Sydney - Northern Beaches,Northern Beaches,Inner Regional Australia,Collector Road
South Australia - South East,Coorong,Inner Regional Australia,Local Road
Sydney - North Sydney and Hornsby,Lane Cove,Major Cities of Australia,Arterial Road
Northern Territory - Outback,Central Desert,Very Remote Australia,Arterial Road
Bunbury,Waroona,Inner Regional Australia,National or State Highway
Darwin,Palmerston,Outer Regional Australia,Local Road
Sydney - Eastern Suburbs,Waverley,Major Cities of Australia,Arterial Road
South Australia - South East,Naracoorte Lucindale,Outer Regional Australia,Local Road
Western Australia - Wheat Belt,Cunderdin,Outer Regional Australia,National or State Highway
Adelaide - South,Marion,Major Cities of Australia,Local Road
Riverina,Cootamundra-Gundagai,Outer Regional Australia,Arterial Road
Murray,Berrigan,Inner Regional Australia,Arterial Road
Perth - Inner,Perth,Major Cities of Australia,Local Road
Barossa - Yorke - Mid North,Barunga West,Outer Regional Australia,Arterial Road
Western Australia - Outback (South),Greater Geraldton,Remote Australia,National or State Highway
North West,Horsham,Outer Regional Australia,Collector Road
Western Australia - Wheat Belt,Lake Grace,Remote Australia,Arterial Road
Perth - North East,Bayswater,Major Cities of Australia,Arterial Road
Richmond - Tweed,Kyogle,Inner Regional Australia,National or State Highway
Hume,Alpine,Inner Regional Australia,Arterial Road
Hume,Murrindindi,Inner Regional Australia,Local Road
Richmond - Tweed,Byron,Inner Regional Australia,Local Road
Bendigo,Loddon,Outer Regional Australia,National or State Highway
Western Australia - Wheat Belt,Broomehill-Tambellup,Outer Regional Australia,Local Road
Darling Downs - Maranoa,Western Downs,Outer Regional Australia,Collector Road
West and North West,Latrobe (Tas.),Outer Regional Australia,Arterial Road
Perth - North East,Mundaring,Inner Regional Australia,National or State Highway
Perth - North East,Mundaring,Major Cities of Australia,National or State Highway
Central West,Blayney,Outer Regional Australia,National or State Highway
South Australia - Outback,Tumby Bay,Remote Australia,Sub-arterial Road
Western Australia - Wheat Belt,Jerramungup,Remote Australia,National or State Highway
South Australia - South East,Tatiara,Outer Regional Australia,Sub-arterial Road
Western Australia - Outback (North),Halls Creek,Very Remote Australia,Arterial Road
Gold Coast,Scenic Rim,Inner Regional Australia,Collector Road
South Australia - South East,Mount Gambier,Outer Regional Australia,Local Road
Illawarra,Kiama,Major Cities of Australia,Local Road
Perth - South East,Victoria Park,Major Cities of Australia,Local Road
Darling Downs - Maranoa,Western Downs,Remote Australia,Sub-arterial Road
Central West,Oberon,Inner Regional Australia,Arterial Road
Sydney - Ryde,Ryde,Major Cities of Australia,Collector Road
Perth - South East,Kalamunda,Major Cities of Australia,National or State Highway
Melbourne - North East,Mitchell,Major Cities of Australia,Collector Road
Melbourne - Inner,Yarra,Major Cities of Australia,Collector Road
Launceston and North East,West Tamar,Outer Regional Australia,Arterial Road
Perth - Inner,Vincent,Major Cities of Australia,Local Road
Western Australia - Wheat Belt,Cranbrook,Outer Regional Australia,National or State Highway
South East,Huon Valley,Outer Regional Australia,Local Road
Sydney - Inner West,Canada Bay,Major Cities of Australia,Arterial Road
Central West,Cabonne,Inner Regional Australia,National or State Highway
Western Australia - Wheat Belt,Yilgarn,Remote Australia,Arterial Road
Central Queensland,Livingstone,Outer Regional Australia,Local Road
Sydney - North Sydney and Hornsby,Willoughby,Major Cities of Australia,National or State Highway
Launceston and North East,Break O'Day,Remote Australia,National or State Highway
Ipswich,Ipswich,Inner Regional Australia,Local Road
Northern Territory - Outback,Victoria Daly,Remote Australia,National or State Highway
North West,Northern Grampians,Outer Regional Australia,National or State Highway
Cairns,Cassowary Coast,Remote Australia,Local Road
Far West and Orana,Brewarrina,Very Remote Australia,Sub-arterial Road
Coffs Harbour - Grafton,Clarence Valley,Outer Regional Australia,Local Road
Mandurah,Mandurah,Major Cities of Australia,Arterial Road
Central West,Lachlan,Remote Australia,Sub-arterial Road
Melbourne - Outer East,Maroondah,Major Cities of Australia,Collector Road
Murray,Murrumbidgee,Outer Regional Australia,Arterial Road
Western Australia - Wheat Belt,Albany,Outer Regional Australia,Arterial Road
Shepparton,Moira,Outer Regional Australia,Local Road
New England and North West,Tamworth,Inner Regional Australia,Sub-arterial Road
South Australia - South East,Berri Barmera,Outer Regional Australia,National or State Highway
New England and North West,Moree Plains,Remote Australia,National or State Highway
Melbourne - Inner,Stonnington,Major Cities of Australia,Local Road
Sydney - Eastern Suburbs,Sydney,Major Cities of Australia,Arterial Road
Capital Region,Queanbeyan-Palerang,Major Cities of Australia,National or State Highway
Warrnambool and South West,Glenelg,Outer Regional Australia,Local Road
Hunter Valley exc Newcastle,Maitland,Inner Regional Australia,Sub-arterial Road
Adelaide - Central and Hills,Prospect,Major Cities of Australia,Collector Road
Central Queensland,Gladstone,Outer Regional Australia,Access road
Melbourne - Outer East,Yarra Ranges,Major Cities of Australia,Access road
Geelong,Greater Geelong,Inner Regional Australia,Local Road
Coffs Harbour - Grafton,Bellingen,Inner Regional Australia,National or State Highway
Hume,Mansfield,Outer Regional Australia,National or State Highway
Bunbury,Waroona,Inner Regional Australia,Local Road
Western Australia - Outback (South),Chapman Valley,Outer Regional Australia,Arterial Road
Gold Coast,Gold Coast,Major Cities of Australia,Access road
South Australia - South East,Kingston (SA),Remote Australia,Arterial Road
Melbourne - West,Melton,Major Cities of Australia,Collector Road
Far West and Orana,Cobar,Remote Australia,Sub-arterial Road
Barossa - Yorke - Mid North,Goyder,Inner Regional Australia,Arterial Road
Queensland - Outback,Cook,Very Remote Australia,Access road
Bendigo,Greater Bendigo,Inner Regional Australia,Collector Road
North West,Horsham,Outer Regional Australia,Local Road
Ballarat,Pyrenees,Inner Regional Australia,Sub-arterial Road
Launceston and North East,Launceston,Outer Regional Australia,Arterial Road
Murray,Berrigan,Inner Regional Australia,Sub-arterial Road
Ballarat,Golden Plains,Inner Regional Australia,National or State Highway
Barossa - Yorke - Mid North,Wakefield,Outer Regional Australia,Local Road
Capital Region,Bega Valley,Outer Regional Australia,Access road
Northern Territory - Outback,East Arnhem,Very Remote Australia,Arterial Road
Mandurah,Mandurah,Inner Regional Australia,Local Road
Launceston and North East,Launceston,Outer Regional Australia,Sub-arterial Road
Melbourne - West,Maribyrnong,Major Cities of Australia,Sub-arterial Road
Toowoomba,Lockyer Valley,Inner Regional Australia,Local Road
Sydney - Outer West and Blue Mountains,Blue Mountains,Major Cities of Australia,Arterial Road
Melbourne - Inner East,Boroondara,Major Cities of Australia,Collector Road
Melbourne - Inner South,Bayside (Vic.),Major Cities of Australia,National or State Highway
South Australia - South East,Tatiara,Outer Regional Australia,National or State Highway
Central West,Orange,Inner Regional Australia,Sub-arterial Road
Sydney - City and Inner South,Inner West,Major Cities of Australia,Local Road
Capital Region,Yass Valley,Major Cities of Australia,Arterial Road
Bendigo,Loddon,Outer Regional Australia,Local Road
Melbourne - Inner,Stonnington,Major Cities of Australia,Sub-arterial Road
Sydney - City and Inner South,Randwick,Major Cities of Australia,National or State Highway
Western Australia - Wheat Belt,Toodyay,Inner Regional Australia,Local Road
Central West,Oberon,Outer Regional Australia,Sub-arterial Road
Sydney - Outer West and Blue Mountains,Hawkesbury,Major Cities of Australia,Local Road
Western Australia - Outback (South),Greater Geraldton,Remote Australia,Local Road
Perth - South East,Kalamunda,Inner Regional Australia,Arterial Road
Western Australia - Wheat Belt,Boddington,Inner Regional Australia,National or State Highway
Darling Downs - Maranoa,Maranoa,Remote Australia,Sub-arterial Road
Warrnambool and South West,Warrnambool,Inner Regional Australia,Access road
Queensland - Outback,Mareeba,Remote Australia,Sub-arterial Road
Adelaide - North,Light,Inner Regional Australia,Arterial Road
Western Australia - Outback (South),Northampton,Remote Australia,National or State Highway
Riverina,Coolamon,Outer Regional Australia,National or State Highway
Capital Region,Upper Lachlan,Inner Regional Australia,Local Road
Latrobe - Gippsland,South Gippsland,Outer Regional Australia,Local Road
Sydney - Inner South West,Bayside (NSW),Major Cities of Australia,Access road
Western Australia - Outback (North),East Pilbara,Very Remote Australia,Arterial Road
Coffs Harbour - Grafton,Clarence Valley,Outer Regional Australia,Sub-arterial Road
Western Australia - Wheat Belt,Kondinin,Remote Australia,National or State Highway
Melbourne - Outer East,Knox,Major Cities of Australia,Collector Road
Western Australia - Outback (South),Carnarvon,Very Remote Australia,National or State Highway
Sydney - Inner West,Canada Bay,Major Cities of Australia,National or State Highway
Western Australia - Outback (South),Carnamah,Remote Australia,National or State Highway
West and North West,Kentish,Outer Regional Australia,Arterial Road
Melbourne - Outer East,Manningham,Major Cities of Australia,Local Road
Western Australia - Wheat Belt,Kellerberrin,Outer Regional Australia,National or State Highway
Adelaide - West,West Torrens,Major Cities of Australia,Local Road
Perth - North East,Kalamunda,Inner Regional Australia,Arterial Road
Darling Downs - Maranoa,Balonne,Very Remote Australia,Local Road
Townsville,Burdekin,Outer Regional Australia,Access road
Sydney - Inner South West,Georges River,Major Cities of Australia,National or State Highway
Moreton Bay - North,Moreton Bay,Inner Regional Australia,Local Road
Queensland - Outback,Barcoo,Very Remote Australia,Sub-arterial Road
Hume,Alpine,Outer Regional Australia,Access road
Barossa - Yorke - Mid North,Clare and Gilbert Valleys,Inner Regional Australia,Arterial Road
Far West and Orana,Unincorporated NSW,Remote Australia,Arterial Road
Northern Territory - Outback,Alice Springs,Remote Australia,Arterial Road
Murray,Murray River,Remote Australia,National or State Highway
Capital Region,Hilltops,Inner Regional Australia,Sub-arterial Road
Sydney - Baulkham Hills and Hawkesbury,The Hills,Major Cities of Australia,National or State Highway
Launceston and North East,West Tamar,Outer Regional Australia,Local Road
Melbourne - Inner,Melbourne,Major Cities of Australia,National or State Highway
Sydney - Inner West,Strathfield,Major Cities of Australia,National or State Highway
Ballarat,Ararat,Inner Regional Australia,National or State Highway
Melbourne - North East,Banyule,Major Cities of Australia,Access road
Cairns,Tablelands,Remote Australia,Local Road
Western Australia - Wheat Belt,Northam,Inner Regional Australia,Arterial Road
Northern Territory - Outback,Wagait,Remote Australia,Sub-arterial Road
Queensland - Outback,Weipa,Very Remote Australia,Local Road
Riverina,Snowy Valleys,Inner Regional Australia,Arterial Road
Western Australia - Wheat Belt,Cunderdin,Outer Regional Australia,Local Road
Moreton Bay - North,Somerset,Inner Regional Australia,Sub-arterial Road
New England and North West,Uralla,Inner Regional Australia,Access road
Mackay - Isaac - Whitsunday,Isaac,Remote Australia,Collector Road
Melbourne - West,Wyndham,Inner Regional Australia,Arterial Road
Newcastle and Lake Macquarie,Newcastle,Major Cities of Australia,Sub-arterial Road
Far West and Orana,Central Darling,Very Remote Australia,Sub-arterial Road
Sydney - City and Inner South,Sydney,Major Cities of Australia,Access road
Townsville,Burdekin,Outer Regional Australia,Sub-arterial Road
Adelaide - North,Barossa,Major Cities of Australia,Collector Road
Ballarat,Pyrenees,Outer Regional Australia,Arterial Road
Queensland - Outback,Pormpuraaw,Very Remote Australia,Local Road
Western Australia - Wheat Belt,Wandering,Outer Regional Australia,National or State Highway
Barossa - Yorke - Mid North,Mount Remarkable,Outer Regional Australia,Sub-arterial Road
Western Australia - Wheat Belt,Quairading,Outer Regional Australia,Local Road
Ballarat,Ballarat,Inner Regional Australia,Collector Road
South Australia - South East,Kangaroo Island,Remote Australia,Collector Road
Western Australia - Wheat Belt,Wongan-Ballidu,Outer Regional Australia,Arterial Road
Western Australia - Outback (North),Karratha,Very Remote Australia,National or State Highway
Sydney - Outer West and Blue Mountains,Blue Mountains,Major Cities of Australia,Sub-arterial Road
Northern Territory - Outback,Victoria Daly,Remote Australia,Arterial Road
Far West and Orana,Bourke,Very Remote Australia,Arterial Road
Brisbane Inner City,Brisbane,Major Cities of Australia,Access road
Riverina,Leeton,Outer Regional Australia,Arterial Road
Central West,Bathurst,Outer Regional Australia,Arterial Road
South Australia - South East,Coorong,Inner Regional Australia,National or State Highway
South Australia - Outback,Whyalla,Outer Regional Australia,Collector Road
Perth - South West,Fremantle,Major Cities of Australia,Arterial Road
Geelong,Surf Coast,Inner Regional Australia,National or State Highway
Brisbane - East,Redland,Remote Australia,Access road
Launceston and North East,Meander Valley,Outer Regional Australia,Arterial Road
Richmond - Tweed,Tweed,Major Cities of Australia,Sub-arterial Road
Darling Downs - Maranoa,Western Downs,Remote Australia,Local Road
Adelaide - Central and Hills,Burnside,Major Cities of Australia,Arterial Road
Central West,Blayney,Inner Regional Australia,Arterial Road
Sydney - Eastern Suburbs,Sydney,Major Cities of Australia,Collector Road
Western Australia - Wheat Belt,Kellerberrin,Outer Regional Australia,Local Road
Western Australia - Wheat Belt,Victoria Plains,Outer Regional Australia,National or State Highway
North West,Gannawarra,Outer Regional Australia,Arterial Road
Riverina,Cootamundra-Gundagai,Inner Regional Australia,Arterial Road
Western Australia - Wheat Belt,Moora,Outer Regional Australia,Arterial Road
Sydney - North Sydney and Hornsby,Hornsby,Major Cities of Australia,Arterial Road
Coffs Harbour - Grafton,Richmond Valley,Outer Regional Australia,Arterial Road
North West,Horsham,Outer Regional Australia,Arterial Road
Warrnambool and South West,Colac Otway,Inner Regional Australia,National or State Highway
Hobart,Derwent Valley,Inner Regional Australia,Collector Road
Hunter Valley exc Newcastle,Upper Hunter,Inner Regional Australia,National or State Highway
Melbourne - Inner,Yarra,Major Cities of Australia,Local Road
South Australia - South East,Coorong,Outer Regional Australia,Arterial Road
West and North West,West Coast,Remote Australia,Sub-arterial Road
Coffs Harbour - Grafton,Clarence Valley,Outer Regional Australia,National or State Highway
Ipswich,Brisbane,Major Cities of Australia,Pedestrian Thoroughfare
Hume,Unincorporated Vic,Outer Regional Australia,Arterial Road
Bunbury,Augusta Margaret River,Inner Regional Australia,National or State Highway
Hume,Alpine,Outer Regional Australia,Local Road
Melbourne - West,Melton,Inner Regional Australia,Arterial Road
Sydney - Outer West and Blue Mountains,Penrith,Inner Regional Australia,Local Road
Sydney - Parramatta,Canterbury-Bankstown,Major Cities of Australia,Collector Road
Hume,Greater Shepparton,Inner Regional Australia,National or State Highway
South Australia - South East,Coorong,Inner Regional Australia,Arterial Road
Perth - South East,Kalamunda,Major Cities of Australia,Local Road
Northern Territory - Outback,East Arnhem,Very Remote Australia,Access road
Hunter Valley exc Newcastle,Maitland,Inner Regional Australia,Arterial Road
Hunter Valley exc Newcastle,Dungog,Inner Regional Australia,Arterial Road
Northern Territory - Outback,Alice Springs,Remote Australia,Local Road
Western Australia - Wheat Belt,Chittering,Outer Regional Australia,Arterial Road
Hobart,Kingborough,Inner Regional Australia,National or State Highway
Far West and Orana,Bogan,Remote Australia,Arterial Road
Melbourne - North East,Whittlesea,Inner Regional Australia,Local Road
Logan - Beaudesert,Logan,Inner Regional Australia,Collector Road
Riverina,Murrumbidgee,Outer Regional Australia,Arterial Road
Mid North Coast,Port Macquarie-Hastings,Outer Regional Australia,Sub-arterial Road
Perth - South East,South Perth,Major Cities of Australia,Local Road
Townsville,Palm Island,Remote Australia,Local Road
Western Australia - Outback (North),Broome,Very Remote Australia,National or State Highway
Melbourne - Outer East,Manningham,Major Cities of Australia,Arterial Road
Warrnambool and South West,Moyne,Outer Regional Australia,Sub-arterial Road
Melbourne - Inner South,Stonnington,Major Cities of Australia,Collector Road
Riverina,Leeton,Outer Regional Australia,Sub-arterial Road
Warrnambool and South West,Corangamite,Outer Regional Australia,Local Road
Launceston and North East,Meander Valley,Inner Regional Australia,Arterial Road
Western Australia - Outback (South),Perenjori,Remote Australia,Arterial Road
Murray,Edward River,Outer Regional Australia,National or State Highway
North West,Ararat,Outer Regional Australia,Arterial Road
South Australia - Outback,Streaky Bay,Very Remote Australia,Arterial Road
Sydney - Sutherland,Sutherland,Inner Regional Australia,Sub-arterial Road
Western Australia - Wheat Belt,York,Inner Regional Australia,Local Road
Melbourne - Inner South,Monash,Major Cities of Australia,Local Road
Melbourne - Inner East,Whitehorse,Major Cities of Australia,Arterial Road
Central West,Parkes,Outer Regional Australia,Local Road
Adelaide - Central and Hills,Burnside,Major Cities of Australia,Sub-arterial Road
Northern Territory - Outback,West Daly,Very Remote Australia,Access road
Far West and Orana,Warrumbungle,Outer Regional Australia,Access road
Bunbury,Capel,Inner Regional Australia,Arterial Road
Perth - Inner,Mosman Park,Major Cities of Australia,National or State Highway
Adelaide - North,Playford,Inner Regional Australia,National or State Highway
West and North West,Central Coast (Tas.),Outer Regional Australia,Collector Road
South Australia - South East,Loxton Waikerie,Outer Regional Australia,Access road
Queensland - Outback,Murweh,Very Remote Australia,National or State Highway
Shepparton,Campaspe,Inner Regional Australia,Collector Road
Melbourne - Inner South,Kingston (Vic.),Major Cities of Australia,Collector Road
Far West and Orana,Unincorporated NSW,Very Remote Australia,Sub-arterial Road
Central West,Bland,Outer Regional Australia,Arterial Road
Murray,Wentworth,Remote Australia,Local Road
Melbourne - South East,Greater Dandenong,Major Cities of Australia,Sub-arterial Road
Hunter Valley exc Newcastle,Singleton,Outer Regional Australia,Local Road
Richmond - Tweed,Tweed,Inner Regional Australia,Access road
Queensland - Outback,Carpentaria,Very Remote Australia,Sub-arterial Road
Hume,Indigo,Inner Regional Australia,Sub-arterial Road
Perth - South West,Melville,Major Cities of Australia,Arterial Road
Western Australia - Wheat Belt,Narrogin,Outer Regional Australia,Local Road
Riverina,Carrathool,Remote Australia,National or State Highway
Hobart,Brighton,Inner Regional Australia,Collector Road
Northern Territory - Outback,MacDonnell,Remote Australia,Sub-arterial Road
Hunter Valley exc Newcastle,Dungog,Inner Regional Australia,Sub-arterial Road
New England and North West,Glen Innes Severn,Outer Regional Australia,Local Road
Adelaide - West,West Torrens,Major Cities of Australia,National or State Highway
Western Australia - Wheat Belt,Merredin,Remote Australia,Local Road
South East,Derwent Valley,Outer Regional Australia,Sub-arterial Road
Melbourne - North East,Murrindindi,Inner Regional Australia,Arterial Road
Adelaide - Central and Hills,Burnside,Major Cities of Australia,Collector Road
Murray,Berrigan,Outer Regional Australia,Local Road
Hobart,Clarence,Inner Regional Australia,Local Road
Launceston and North East,Launceston,Inner Regional Australia,Sub-arterial Road
Northern Territory - Outback,Unincorporated NT,Very Remote Australia,Sub-arterial Road
Richmond - Tweed,Kyogle,Inner Regional Australia,Local Road
Western Australia - Wheat Belt,Westonia,Remote Australia,National or State Highway
Launceston and North East,Meander Valley,Outer Regional Australia,Local Road
Murray,Berrigan,Outer Regional Australia,National or State Highway
Darling Downs - Maranoa,Maranoa,Remote Australia,Collector Road
South Australia - Outback,Whyalla,Outer Regional Australia,Arterial Road
Sydney - Outer South West,Camden,Major Cities of Australia,Local Road
Warrnambool and South West,Glenelg,Outer Regional Australia,Sub-arterial Road
Sydney - City and Inner South,Sydney,Major Cities of Australia,Pedestrian Thoroughfare
Bunbury,Bridgetown-Greenbushes,Outer Regional Australia,Arterial Road
Far West and Orana,Cobar,Very Remote Australia,Sub-arterial Road
Hunter Valley exc Newcastle,Muswellbrook,Inner Regional Australia,Sub-arterial Road
Western Australia - Outback (South),Morawa,Remote Australia,Local Road
Bunbury,Bunbury,Inner Regional Australia,Local Road
New England and North West,Liverpool Plains,Outer Regional Australia,National or State Highway
Latrobe - Gippsland,East Gippsland,Remote Australia,National or State Highway
Barossa - Yorke - Mid North,Goyder,Outer Regional Australia,National or State Highway
Sydney - Outer West and Blue Mountains,Hawkesbury,Major Cities of Australia,Collector Road
Ballarat,Pyrenees,Inner Regional Australia,Arterial Road
Hume,Benalla,Inner Regional Australia,Arterial Road
Moreton Bay - North,Somerset,Outer Regional Australia,Sub-arterial Road
Melbourne - West,Moorabool,Inner Regional Australia,Arterial Road
Latrobe - Gippsland,South Gippsland,Outer Regional Australia,Arterial Road
Western Australia - Wheat Belt,Gingin,Inner Regional Australia,National or State Highway
Western Australia - Wheat Belt,Westonia,Remote Australia,Local Road
Launceston and North East,West Tamar,Inner Regional Australia,Local Road
North West,Buloke,Outer Regional Australia,Access road
Perth - Inner,Claremont,Major Cities of Australia,Arterial Road
Warrnambool and South West,Southern Grampians,Outer Regional Australia,Arterial Road
Riverina,Cootamundra-Gundagai,Inner Regional Australia,Local Road
South Australia - South East,Loxton Waikerie,Outer Regional Australia,Arterial Road
Western Australia - Outback (South),Mingenew,Outer Regional Australia,Local Road
Newcastle and Lake Macquarie,Lake Macquarie,Inner Regional Australia,Access road
North West,Northern Grampians,Outer Regional Australia,Local Road
Western Australia - Wheat Belt,Merredin,Outer Regional Australia,National or State Highway
Latrobe - Gippsland,East Gippsland,Remote Australia,Sub-arterial Road
Queensland - Outback,Barcaldine,Very Remote Australia,National or State Highway
Coffs Harbour - Grafton,Bellingen,Inner Regional Australia,Access road
Wide Bay,Fraser Coast,Outer Regional Australia,Local Road
Melbourne - Inner South,Bayside (Vic.),Major Cities of Australia,Collector Road
Central Queensland,Livingstone,Outer Regional Australia,Access road
Adelaide - North,Light,Inner Regional Australia,Collector Road
Northern Territory - Outback,Central Desert,Very Remote Australia,National or State Highway
Northern Territory - Outback,Unincorporated NT,Remote Australia,National or State Highway
Western Australia - Wheat Belt,Narrogin,Outer Regional Australia,Arterial Road
Western Australia - Wheat Belt,Murray,Inner Regional Australia,Local Road
Sydney - North Sydney and Hornsby,Lane Cove,Major Cities of Australia,Local Road
Hunter Valley exc Newcastle,Port Stephens,Major Cities of Australia,National or State Highway
Sydney - Parramatta,The Hills,Major Cities of Australia,National or State Highway
Sydney - South West,Liverpool,Inner Regional Australia,Collector Road
Western Australia - Outback (South),Chapman Valley,Outer Regional Australia,National or State Highway
South Australia - South East,Naracoorte Lucindale,Outer Regional Australia,Access road
Riverina,Carrathool,Outer Regional Australia,Local Road
Western Australia - Wheat Belt,Bruce Rock,Remote Australia,Local Road
Launceston and North East,Meander Valley,Outer Regional Australia,Collector Road
Central Coast,Central Coast (NSW),Major Cities of Australia,Sub-arterial Road
Western Australia - Wheat Belt,West Arthur,Outer Regional Australia,Local Road
Western Australia - Wheat Belt,Boddington,Outer Regional Australia,National or State Highway
Barossa - Yorke - Mid North,Yorke Peninsula,Remote Australia,Arterial Road
Northern Territory - Outback,Unincorporated NT,Remote Australia,Arterial Road
Western Australia - Outback (North),Halls Creek,Very Remote Australia,National or State Highway
West and North West,Kentish,Outer Regional Australia,Local Road
Far West and Orana,Narromine,Outer Regional Australia,Arterial Road
Hunter Valley exc Newcastle,Mid-Coast,Inner Regional Australia,Sub-arterial Road
Western Australia - Wheat Belt,Goomalling,Outer Regional Australia,Local Road
West and North West,Devonport,Outer Regional Australia,Collector Road
South East,Central Highlands (Tas.),Outer Regional Australia,Collector Road
Capital Region,Eurobodalla,Inner Regional Australia,Access road
Sydney - Inner West,Strathfield,Major Cities of Australia,Local Road
Perth - South East,Kalamunda,Inner Regional Australia,Local Road
South Australia - South East,Loxton Waikerie,Outer Regional Australia,Local Road
Bunbury,Collie,Inner Regional Australia,Arterial Road
Sydney - South West,Camden,Major Cities of Australia,Collector Road
Northern Territory - Outback,Barkly,Very Remote Australia,Sub-arterial Road
Barossa - Yorke - Mid North,Goyder,Outer Regional Australia,Local Road
Perth - Inner,Claremont,Major Cities of Australia,National or State Highway
Barossa - Yorke - Mid North,Goyder,Outer Regional Australia,Access road
Western Australia - Outback (South),Mount Magnet,Very Remote Australia,Arterial Road
Hunter Valley exc Newcastle,Port Stephens,Major Cities of Australia,Sub-arterial Road
Far West and Orana,Unincorporated NSW,Remote Australia,Sub-arterial Road
New England and North West,Armidale,Outer Regional Australia,Local Road
